Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
35,TOR,AL,63,241,201,27,51,17,0,6,21,0,0,38,89,0.254,0.373,0.428,0.801,125.0,86,3,1,0,1,1
29,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
25,TOR,AL,92,411,394,47,125,22,1,16,53,3,3,15,76,0.317,0.345,0.5,0.845,134.0,197,10,2,0,0,0
28,TOR,AL,59,158,144,23,29,5,0,7,18,2,2,12,48,0.201,0.272,0.382,0.654,82.0,55,0,2,0,0,0
30,TOR,AL,90,378,332,50,88,30,1,12,40,3,2,41,103,0.265,0.349,0.47,0.819,128.0,156,3,3,0,2,1
27,TOR,AL,11,9,7,3,3,0,0,0,2,1,0,1,1,0.429,0.444,0.429,0.873,148.0,3,0,0,0,1,0
28,TOR,AL,46,135,120,18,26,6,0,1,11,2,1,12,17,0.217,0.299,0.292,0.59,68.0,35,4,2,1,0,0
24,TOR,AL,90,393,351,44,96,19,0,14,59,4,2,32,61,0.274,0.344,0.447,0.791,120.0,157,14,7,0,3,1
32,TOR,AL,9,20,16,1,5,1,0,0,0,0,0,4,5,0.313,0.45,0.375,0.825,137.0,6,0,0,0,0,0
25,TOR,AL,3,10,8,1,2,0,0,0,1,0,0,2,3,0.25,0.4,0.25,0.65,90.0,2,0,0,0,0,0
28,TOR,AL,57,199,185,24,42,10,0,11,37,0,0,13,44,0.227,0.281,0.459,0.741,104.0,85,2,1,0,0,1
33,TOR,AL,76,245,222,35,60,12,5,4,20,10,0,18,50,0.27,0.328,0.423,0.751,110.0,94,7,2,1,2,0
24,TOR,AL,68,230,204,15,48,5,0,3,22,0,0,20,26,0.235,0.317,0.304,0.621,77.0,62,9,5,0,1,1
28,TOR,AL,24,24,20,4,4,1,1,0,2,0,0,3,7,0.2,0.292,0.35,0.642,80.0,7,0,0,0,1,0
29,TOR,AL,4,7,6,1,0,0,0,0,0,0,0,1,4,0.0,0.143,0.0,0.143,-54.0,0,0,0,0,0,0
31,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,TOR,AL,84,339,309,39,90,17,0,6,42,19,7,24,57,0.291,0.345,0.405,0.75,110.0,125,9,3,0,3,0
30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,TOR,AL,89,388,353,52,96,13,1,13,41,13,4,30,63,0.272,0.335,0.425,0.76,112.0,150,12,4,0,1,0
26,TOR,AL,91,358,325,38,69,13,0,12,30,11,3,27,82,0.212,0.277,0.363,0.64,78.0,118,3,3,0,3,0
